질환명,증상,관련질환,진료과목
자궁경부암,"배변장애, 변비, 비정상적 질출혈, 악취, 배뇨장애, 비정상적 질 분비물, 골반 통증, 생식기 출혈, 다리 통증, 요통","자궁의 평활근종, 자궁 상피 내 암종, 난소암, 자궁내막암, 자궁내막 용종, 자궁선근증, 난소의 양성 종양, 자궁내막 이상증식증, 자궁내막증","산부인과, 암병원"
자궁경부염,"복부 통증, 골반 통증, 비정상적 질 분비물, 비정상적 질출혈, 생식기 부종, 잔뇨감, 생식기 통증","헤르페스 바이러스 감염, 증상이 없는 HIV 감염, 자궁경부암, 성병, 비임균성 요도염, 임질, 임균성 요도염",산부인과
자궁내막 용종,"월경과다, 비정상적 질출혈","자궁의 평활근종, 자궁 상피 내 암종, 자궁내막암, 자궁경부암, 자궁 탈출증, 자궁내막 이상증식증, 자궁선근증, 자궁내막증",산부인과
자궁내막 이상증식증,"생리불순, 비정상적 질출혈, 월경과다","자궁선근증, 자궁내막증, 자궁내막암, 자궁내막 용종",산부인과
자궁내막암,"생식기 출혈, 복부 통증, 비정상적 질출혈, 골반 통증, 월경과다, 무월경","자궁내막 이상증식증, 자궁 상피 내 암종, 난소암, 자궁경부암, 자궁내막증, 자궁선근증, 자궁내막 용종, 자궁의 평활근종","산부인과, 암병원"
자궁내막증,"복부 통증, 설사, 배뇨곤란, 골반 통증, 불임, 배변습관의 변화, 요통","원발성 월경곤란, 여성 불임",산부인과
자궁선근증,"월경과다, 불임, 골반 통증, 복부 통증, 덩어리가 만져짐","원발성 월경곤란, 철결핍빈혈, 여성 불임",산부인과
자궁의 비염증성 장애,염증 장애에 따라 다양,"유산, 여성 불임",산부인과
자궁의 평활근종,"복부 통증, 요통, 비정상적 질출혈, 월경과다, 불임, 골반 통증, 생식기 출혈","철결핍빈혈, 여성 불임, 원발성 월경곤란",산부인과
자극성 장 증후군,"변비, 점액변, 설사, 체중감소, 복부 통증",흡수장애 증후군,소화기내과
자발성 두개강 내 출혈,"두통, 고혈압, 어지러움, 편마비, 구토, 의식 변화","고혈압, 뇌졸중, 뇌경색","신경과, 신경외과"
자폐증 / 자폐 스펙트럼 장애,"사회적 고립, 언어장애, 정신 지체, 상동적 행동",지적장애,"정신건강의학과, 소아정신건강의학과"
잠금 증후군,"눈운동신경마비, 안구 이상, 인지장애, 사지 마비, 기억장애, 뇌압상승증상, 언어장애","뇌경색, 외상에 의한 뇌 손상, 뇌졸중, 뇌출혈, 혼수","신경과, 신경외과"
잠복고환증,"음낭이 작아 보임, 음낭이 잘 발달하지 않음, 골반 통증","모호한 생식기, 요도하열","비뇨의학과, 소아비뇨의학과"
잠수병,"피부 긴장도 저하, 관절통, 가슴 통증, 저림, 어지러움, 무감각",동맥색전증 및 혈전증,응급의학과
장간막 동맥 혈전증,"복부 불편감, 복부 통증, 체중감소","오래된 심근경색증, 죽상경화증, 패혈증, 급성 심근경색증, 장간막 정맥 혈전증, 울혈성 심부전, 골반 염증성 질환, 복막염",응급의학과
장간막 정맥 혈전증,"복부 불편감, 복부 통증, 오심, 설사, 구토, 식욕부진, 위장관 출혈","위장관 출혈, 위 정맥류, 복막염, 문맥색전증, 구토, 간경화, 식도 정맥류",응급의학과
장염전,"복부 통증, 오심, 혈변, 변비, 구토, 복부팽만감, 장폐색","위식도 역류성 질환, 장중첩증",소아외과
장유착,"소화불량, 구토, 변비, 복부 통증, 체중감소",장폐색,소화기내과
장중첩증,"복부 통증, 혈변, 점액변, 구토, 덩어리가 만져짐","장염전, 복부 통증, 장폐색, 장유착","산부인과, 소아외과"
장출혈성 대장균 감염증,"복부경련, 혈변, 혈소판감소, 설사, 복부 통증, 빈혈, 요독증","대장균 감염, 용혈성 요독 증후군","감염내과, 소화기내과"
장티푸스,"설사, 오한, 두통, 반점, 변비, 열","콜레라, 세균성 이질, 아메바성 이질, 성홍열, 털진드기병",감염내과
장폐색,"복부 통증, 복부팽만감, 구토, 장폐색, 탈수, 설사, 변비, 빈맥, 저혈압","대장암, 직장암, 소장암, 장염전, 메켈 게실, 복막염, 장중첩증","소화기내과, 소아외과, 대장항문외과"
재발성 견관절 전방 탈구,"어깨의 통증, 환부 부종, 관절 운동성 감소, 팔의 길이가 달라짐",회전근개 증후군,정형외과
재발성 천명,천명음,"울혈성 심부전, 폐 혈전색전증, 만성 폐쇄성 폐질환, 결핵, 천식, 기관지확장증, 만성 기관지염, 급성 기관지염",알레르기내과
재발성 탈장,"탈장 부위의 통증, 탈장 돌출, 탈장, 복부팽만감","제대 탈장, 반흔 탈장","소아외과, 위장관외과"
재생불량빈혈,"열, 호흡곤란, 잦은 상기도 감염, 구강궤양, 출혈 경향성, 빈혈, 피부 긴장도 저하, 멍, 반복되는 폐렴, 창백, 어지러움, 생식기 출혈, 운동 시 호흡곤란, 점상 출혈","골수형성이상증후군, 골수로성 빈혈, 판코니범혈구감소증, 순수적혈구무형성","혈액내과, 소아청소년종양혈액과"
저나트륨혈증,"구토, 두통, 흥분, 뇌전증 발작, 오심, 의식 변화","울혈성 심부전, 신부전, 요붕증","내분비내과, 신장내과, 노년내과"
저마그네슘혈증,"어지러움, 의식 변화, 근육강직, 심실 부정맥, 근육경련, 안구진탕","부갑상선기능항진증, 알코올 의존성, 크론병, 부갑상선기능저하증, 급성 신부전",신장내과
저신장,표준 신장의 3%이하,성장호르몬 결핍증,"소아내분비대사과, 소아정형외과"
저체온증,"근육강직, 의식 저하, 과호흡, 피로감, 건망증, 사망, 빈맥","저혈당증, 부신 기능부전, 알코올 의존성, 갑상선기능저하증, 점액수종 혼수, 신생아 괴사성 장염",응급의학과
저칼륨혈증,"피부 긴장도 저하, 근육통, 저혈압, 마비, 부정맥","구토, 쿠싱 증후군, 횡문근융해증, 대사성 알칼리증, 당뇨병성 케톤산증, 섭식 장애","내분비내과, 신장내과, 소아신장과"
저칼슘혈증,"심정지, 감각 이상, 무호흡, 근육경련","저마그네슘혈증, 부갑상선기능저하증, 구루병","내분비내과, 신생아과, 소아내분비대사과"
저혈당증,"온몸이 떨림, 손떨림, 창백, 발한, 가슴 두근거림, 흥분, 어지러움, 의식 저하, 기운없음, 쇼크, 경련, 두통, 불안, 공복감, 피로감","인슐린 비의존성 당뇨병, 신생아 다혈구증, 덤핑 증후군, 뇌하수체 기능부전, 부신 기능부전, 인슐린 의존성 당뇨병, 췌장암, 당뇨병","내분비내과, 소아내분비대사과"
저혈압,"두통, 자율신경장애, 어지러움","아나필락시스, 열사병, 뇌하수체 기능부전, 이차성 파킨슨증, 양수색전증, 위장관 출혈, 장폐색, 복막염, 급성 심근경색증, 심낭 압전, 심내막염, 심낭염, 신증후성 출혈열, 점액수종 혼수, 고마그네슘혈증, 저칼륨혈증, 패혈증, 화상, 당뇨병","심장내과, 심장병원"
적응 장애,"우울, 걸핏하면 눈물지음, 희망이 없는 느낌","우울증, 행동 및 충동 장애, 사회공포증","정신건강의학과, 소아정신건강의학과"
전격성 간염,"급성 신부전, 간성뇌증, 다발성 장기부전 증상, 출혈 경향성, 뇌부종","간성 뇌증, 급성 B형 간염, 독성 간염, 간염, 자가면역성 간염, 간경화, 급성 C형 간염, 급성 바이러스성 간염, 급성 A형 간염","소화기내과, 소아외과, 간이식ㆍ간담도외과, 소아소화기영양과"
전도 장애,"실신, 가슴 두근거림, 호흡곤란","저칼륨혈증, 저칼슘혈증, 고칼륨혈증, 발작성 상심실성 빈맥, 심실 빈맥, 심실 세동, 심방 세동, 허혈성 심질환, 심근병증","심장내과, 심장병원"
전립선암,"소변이 샘, 요관 폐쇄, 뼈 전이, 소변을 볼 수 없음, 혈뇨","양성 전립선 비대증, 만성 전립선염","건강의학과, 종양내과, 방사선종양학과, 비뇨의학과, 암병원"
전신 경화증,"소화불량, 피부경화, 관절염, 주먹을 쥐기 힘듬, 레이노이드 현상","레이노병, 고혈압, 폐성 고혈압","호흡기내과, 피부과, 류마티스내과"
전신 홍반성 낭창,"발진, 우울, 관절염, 광과민성, 피로감, 관절통, 열, 얼굴의 나비모양 홍반, 두통, 구강궤양, 체중감소","혈소판 이상, 관절염, 골다공증, 용혈빈혈, 레이노병","신장내과, 소아신장과, 류마티스내과"
전이 암,"종양부위 부종, 환부 통증, 덩어리가 만져짐","간 전이, 췌장암, 간세포암, 연부조직 전이, 신우요관암의 전이, 전이성 신장암, 췌장 전이암, 폐 전이","종양내과, 방사선종양학과"
전이성 신장암,"고혈압, 호흡곤란, 혈뇨, 기침, 두통","고칼슘혈증, 신세포암종",종양내과
전정신경염,"이명, 오심, 권태감, 어지러움, 발한, 설사, 구토","현훈, 이석증",이비인후과
전치 태반,비정상적 질출혈,"분만 후 출혈, 태반 조기 박리, 비정상적 자궁, 질 출혈",산부인과
전폐정맥연결 이상,"빈호흡, 운동 시 호흡곤란, 부정맥, 수유 곤란, 잦은 상기도 감염, 청색증, 발육부전","심방 중격 결손, 풍진, 선천성 심장 질환","소아청소년심장과, 소아심장외과, 선천성심장병센터"
절박 유산,"복부 통증, 비정상적 질출혈","난소암, 난소의 양성 종양, 조산, 자궁경관무력증, 유산, 유산 후 계속되는 임신(다태), 자궁 외 임신, 계류 유산, 습관성 유산",산부인과
점액낭염,"관절 운동성 감소, 환부 부종, 환부 통증, 열",일과성 고관절 활액막염,정형외과
점액수종 혼수,"권태감, 의식 저하, 서맥, 저혈압, 저체온, 전신 부종, 기억장애",갑상선기능저하증,내분비내과
접촉 피부염,"물집, 피부소양감, 발적, 피부 각질, 환부 부종, 체모감소, 피부 건조","두드러기, 기저귀 피부염","피부과, 알레르기내과"
정계정맥류,"생식기 통증, 불임, 생식기 부종, 음낭 부종","음낭수종, 하지 정맥류, 남성 불임, 음낭 내 부속기 염전","비뇨의학과, 소아비뇨의학과"
제대 탈장,"배꼽이 솟음, 탈장, 탈장 돌출, 탈장 부위의 통증, 손가락으로 밀면 들어감","간경화, 재발성 탈장, 반흔 탈장, 비만, 복수","소아외과, 위장관외과"
조갑 이영양증,색깔이 퇴색해보임,"곰팡이 감염, 조갑백선, 조갑주위염",피부과
조갑백선,손 발톱이 갈라짐,무좀,피부과
조갑주위염,"손 발톱이 갈라짐, 압통, 고름, 손 발톱이 두꺼워짐, 발적","곰팡이 감염, 조갑백선, 조갑 이영양증, 내향성 손발톱",피부과
조기 양막 파열,"비정상적인 진통, 비정상적 질 분비물","조산, 이상 태위, 다태아",산부인과
조기 위암,"토혈, 복부 불편감, 오심, 소화불량","위염, 헬리코박터균 감염, 위선종, 위암, 진행성 위암, 만성 위염, 위궤양","소화기내과, 위장관외과, 암병원"
조기 진통,"태아의 하강감, 자궁 수축, 복부 통증, 아랫배가 뭉침","조산, 조기 양막 파열",산부인과
조기 폐경,"수면장애, 발한, 배뇨장애, 피로감, 안면홍조","골다공증, 다낭성 난소 증후군, 중증 근무력증, 폐경기 및 여성의 갱년기 상태, 난소, 난관 이상, 폐경, 류마티스 관절염, 전신 홍반성 낭창",산부인과
조로증,"얼굴모양변화, 모발 탈색, 발육부전, 체모감소",노화,"의학유전학센터, 의학유전학과"
조루증,사정이 일찍 됨,"성기능장애, 음경만곡증, 남성 불임",비뇨의학과
조류 인플루엔자 인체감염증,"근육통, 열, 목의 통증, 기침, 오한","바이러스성 뇌수막염, 파라인플루엔자 감염증, 인플루엔자, 웨스트나일열",감염내과
조산,"복부 통증, 비정상적 질출혈, 복부경련, 복부 압박 증상","자간전증, 전치 태반, 태반 조기 박리, 자간증",산부인과
조현병(정신분열병),"무논리증, 무욕증, 와해된 행동, 정서적 둔마, 와해된 언어, 망상, 피해망상, 환각","분열정동 장애, 망상 장애, 양극성 장애","정신건강의학과, 소아정신건강의학과"
족저 근막염,"압통, 발의 통증","아킬레스 건 파열, 신경종, 아킬레스 건염",정형외과
종격동염,"가슴 답답, 호흡곤란, 삼키기 곤란, 오한, 가슴 통증, 열","폐결핵, 결핵, 식도의 이물, 식도암, 악성 종격동 종양, 양성 종격동 종양","호흡기내과, 심장혈관흉부외과"
좌골신경통,"다리 통증, 골반 통증, 저림, 요통",요추관 협착증,"마취통증의학과, 신경외과, 정형외과"
주관절 외상과염,팔의 통증,내상과염,정형외과
주근깨,미세반점의 군집,기미,피부과
주의력결핍 과잉행동장애,"산만함, 손발을 계속 움직임, 대화에 불쑥 끼어듬, 인내심이 부족함","아동 학대, 태아 알코올 증후군, 뇌염","정신건강의학과, 소아정신건강의학과"
죽상경화증,"말초 신경장애, 말초 통증, 말초의 허혈, 가슴 통증, 관련 장기의 일시적 기능장애, 저림","인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 이상지질혈증, 고지혈증, 급성 심근경색증, 오래된 심근경색증, 고콜레스테롤혈증",심장내과
중동 호흡기 증후군,"기침, 급성 신부전, 열, 호흡곤란","폐렴, 신부전, 중증 급성 호흡기 증후군, 폐렴간균에 의한 폐렴, 급성 신부전",호흡기내과
중심장액성 맥락망막병증,"시야장애, 암점","황반천공, 망막 전막, 망막 열공, 망막 출혈, 황반변성, 망막 정맥 폐쇄, 망막 박리, 당뇨망막병증",안과
중증 근무력증,"삼키기 곤란, 근력 약화, 발음 이상, 복시, 안검하수","베커형 근이영양증, 척수근육위축, 듀시엔형 근이영양증",신경과
중증 급성 호흡기 증후군,"근육통, 열, 오한, 두통, 권태감, 기침, 호흡곤란","인플루엔자, 파라인플루엔자 감염증, 가습기 살균제 연관 폐질환, 신종 플루",호흡기내과
중증 열성 혈소판감소 증후군,"설사, 피로감, 복부 통증, 열, 두통, 식욕부진, 구토, 혈소판감소","털진드기병, 신증후성 출혈열, 렙토스피라증",감염내과
쥐젖,갈색 피부 반점,섬유종,피부과
지간 신경종,"무감각, 발의 통증, 저림","결절종, 무지외반증, 지방종",정형외과
지루성 피부염,"피부소양감, 인설, 딱지, 발적, 피부 각질","곰팡이 감염, 탈락 피부염, 외이도염",피부과
지방간,"복부 불편감, 피로감, 식욕부진, 기운없음","이상지질혈증, 고콜레스테롤혈증, 인슐린 의존성 당뇨병, 인슐린 비의존성 당뇨병, 당뇨병, 비만, 고지혈증","소화기내과, 노년내과"
지방종,"환부 통증, 덩어리가 만져짐",피부의 양성 종양,"성형외과, 피부과"
지역사회성 폐렴,"가슴 통증, 호흡곤란, 기침, 가래, 감기 증상","폐렴, 공기가슴증(기흉), 병원 감염성 폐렴, 흡인성 폐렴, 폐 농양, 상기도 감염, 폐렴간균에 의한 폐렴",호흡기내과
지적장애,"행동장애, 언어장애, 정서장애, 정신 지체","다운 증후군, 박테리아성 뇌수막염, 바이러스성 뇌수막염, 페닐케톤뇨증","재활의학과, 어린이병원, 소아정신건강의학과, 소아재활의학과"
지주막하 출혈,"감각 이상, 반신마비, 경련, 심정지, 두통, 눈꺼풀 처짐증, 혼수, 구토, 호흡곤란, 경부 강직, 의식 저하","고지혈증, 뇌 동정맥 기형, 고혈압","신경과, 신경외과"
지중해빈혈,"황달, 운동 시 호흡곤란, 식욕부진, 호흡곤란, 비장비대, 얼굴모양변화, 간비대, 창백, 정신 혼미","소적혈구빈혈, 거대적혈모구빈혈, 용혈빈혈, 철결핍빈혈, 재생불량빈혈, 골수로성 빈혈, 약물 유발성 자가면역성 용혈성 빈혈, 미세혈관병용혈빈혈","혈액내과, 소아청소년종양혈액과"
지카 바이러스 감염증,"눈의 충혈, 발진, 열, 관절통","길랑-바레 증후군, 말라리아, 뎅기열, 황열, 수두증, 치쿤구니야열, 웨스트나일열",감염내과
직장 유암종,"복부 통증, 체중감소, 환부 통증, 항문출혈","대장 용종, 위 유암종, 카르시노이드 증후군",소화기내과
직장암,"배변습관의 변화, 변비, 설사, 혈변","대장암, 직장의 양성 종양, 항문 및 직장의 궤양, 대장의 양성 종양","종양내과, 방사선종양학과, 대장항문외과, 암병원"
직장의 양성 종양,"점액변, 혈변","항문암, 궤양성 대장염, 대장 용종, 항문 열구, 항문 주위 농양, 대장암, 직장암, 위막성 대장염, 항문 및 직장의 궤양, 대장염, 대장의 양성 종양, 항문 누공",소화기내과
진균성 각막 궤양,"눈의 자극감, 눈의 통증, 시력 감소, 눈의 피로","각막 궤양, 무좀, 곰팡이 감염, 각막 혼탁과 흉터, 각막염, 조갑백선",안과
진주종,"환부의 분비물, 악취, 기억장애, 청력장애",만성 중이염,이비인후과
진폐증,"운동 시 호흡곤란, 검은색 가래, 기침","규폐증, 폐암",호흡기내과
진행성 위암,"복부 불편감, 위장관 출혈, 체중감소, 오심, 복부 통증, 흑색변, 빈혈, 토혈, 삼키기 곤란, 복부팽만감, 소화불량, 구토","위염, 만성 위염, 십이지장 궤양, 조기 위암, 위궤양, 위암","소화기내과, 종양내과, 위장관외과, 암병원"
진행성 핵상마비,"시야장애, 보행이상, 발음 이상, 수면장애, 성격의변화, 안구 이상, 치매, 인지장애, 운동장애","파킨슨병, 뇌경색, 이차성 파킨슨증, 뇌졸중, 비정형 파킨슨 증후군",신경과
질암,"배뇨 시 통증, 비정상적 질출혈, 비정상적 질 분비물, 골반 통증, 생식기 출혈","자궁 경부의 이형성증, 비정상적 자궁, 질 출혈, 노인성 질염, 칸디다성 외음질염, 자궁경부염, 급성 질염, 바르톨린샘의 고름집","산부인과, 암병원"
차지 증후군,"삼키기 곤란, 난청, 사춘기 지연, 호흡곤란","심장 판막 질환, 심실 중격 결손, 안면 마비, 감각신경성 난청, 잠복고환증, 척추측만증, 발달 장애","소아청소년심장과, 의학유전학센터, 어린이병원, 소아내분비대사과, 의학유전학과"
처그 스트라우스 증후군,"무감각, 관절통, 천명음, 열, 기침, 호흡곤란, 점상 출혈, 체중감소, 피로감, 감기 증상, 근육통, 식욕부진, 저림, 천식","알레르기 비염, 호산구 증가증, 과다호산구증가증, 천식, 상기도 감염, 혈관염",알레르기내과
척수 종양,"운동장애, 요통, 감각 이상, 환부 통증","완전 척수 손상, 척추 골수염, 척수병증, 척추 종양","방사선종양학과, 신경외과, 소아신경외과, 암병원"
척수공동증,"근력 약화, 하지 마비, 마비, 감각 이상, 요통","바이러스성 뇌수막염, 척수병증, 박테리아성 뇌수막염, 척추측만증, 척추 종양, 척추 골수염","신경외과, 소아신경외과"
척수구근 근위축증 ,"삼키기 곤란, 손떨림, 고환 위축, 근긴장의 이상, 남성의 여성형 유방","근긴장성 이영양증, 헌팅톤 병, 프리이드라이히 운동실조증, 유약 X 증후군, Haw River 증후군, 척수소뇌성 운동실조증","신경과, 의학유전학센터, 의학유전학과"
척수근육위축,"하지의 근력약화, 근긴장의 이상, 근골격계 이상, 보행이상","베커형 근이영양증, 듀시엔형 근이영양증","신경과, 신경외과, 의학유전학센터, 의학유전학과"
척수병증,"저림, 배뇨장애, 보행이상, 감각 이상, 의식 변화, 근력 약화, 배변장애, 하지 마비","요추관 협착증, 요추 전방전위증, 척추 골수염, 척수수막류, 전신 홍반성 낭창, 횡단성 척수염, 경추 추간판 탈출증, 근위축성 측색 경화증, 베체트 병, 매독","신경과, 신경외과, 정형외과"
척수소뇌성 운동실조증 ,"발음 이상, 운동장애, 손가락 운동장애, 삼키기 곤란, 보행이상","근긴장성 이영양증, 헌팅톤 병, Haw River 증후군, 프리이드라이히 운동실조증, 척수구근 근위축증, 유약 X 증후군","신경과, 의학유전학센터, 의학유전학과"
척수수막류,"자세이상, 배뇨장애, 굽은 등, 보행이상, 뇌수종, 하지 마비","박테리아성 뇌수막염, 잠재성 이분 척추","어린이병원, 소아신경외과"
척추 골수염,"요통, 마비, 체중감소, 배뇨곤란, 열, 오한, 피로감","골수염, 결핵성 골수염","감염내과, 정형외과"
척추 뇌저 동맥 증후군,"두통, 오심, 복시, 구토, 어지러움, 발음 이상, 이명, 삼키기 곤란","대동맥 박리, 철결핍빈혈, 동맥색전증 및 혈전증, 메니에르병, 혈관염, 현훈, 죽상경화증",신경과
척추 종양,"피로감, 근력 약화, 식욕부진, 요통, 감각 이상, 근육마비, 목의 통증","퇴행성 척추 장애, 노인성 척추후만증, 척추병증, 강직성 척추염","정형외과, 암병원"
척추병증,"요통, 자율신경장애, 감각 이상, 운동장애, 저림","강직성 척추염, 매독, 골수염, 근위축성 측색 경화증","정형외과, 류마티스내과"
척추측만증,"근골격계 이상, 뼈의 변형, 굽은 등","퇴행성 척추 장애, 노인성 척추후만증, 척추병증",정형외과
천식,"천명음, 가래, 호흡곤란, 기침, 가슴 답답","알레르기 비염, 만성 폐질환, 만성 폐쇄성 폐질환, 아토피성 피부염","호흡기내과, 알레르기내과"
천추골 골절,"골반 통증, 손상 부위 통증","병리적 골절, 대퇴 골절",정형외과
천포창,"딱지, 인설, 물집, 미란",피부염,피부과
철결핍빈혈,"빈맥, 심부전, 스푼형 손톱, 창백, 빈혈, 호흡곤란, 설염, 어지러움, 구각염, 피부 긴장도 저하",재생불량빈혈,"혈액내과, 소아청소년종양혈액과"
첨형 콘딜로마,"생식기 출혈, 소양감, 회음부의 작은 돌기",사마귀,"비뇨의학과, 산부인과"
청신경초종,"감각 이상, 청력장애, 어지러움, 이명","만성 중이염, 이명, 감각신경성 난청, 신경초종, 신경섬유종","신경외과, 이비인후과"
총담관 낭,"오심, 구토, 복부 불편감, 덩어리가 만져짐, 복부 통증, 회색변, 진한 소변색, 황달","담관암, 담석, 카롤리병, 간농양, 총담관 담석, 췌장염, 만성 췌장염, 급성 췌장염, 간경화","소화기내과, 소아외과, 간담도췌외과, 간이식ㆍ간담도외과"
총담관 담석,"열, 오한, 구토, 황달, 오심, 복부 통증","총담관 낭, 담석, 간내 담석, 담관암, 경화성 담관염","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과"
총동맥간증,"수유 곤란, 축 늘어짐, 심잡음, 호흡곤란, 소변량 감소, 청색증","울혈성 심부전, 대동맥궁 단절, 심내막염, 폐성 고혈압, 다운 증후군","소아청소년심장과, 소아심장외과, 선천성심장병센터"
춘곤증,"피로감, 식욕부진, 기운없음, 저림, 어지러움, 불면증, 두통, 낮 시간대의 졸음, 소화불량","소화불량, 기면증, 만성 피로 증후군",가정의학과
출혈성 결막염,"눈의 통증, 눈의 자극감, 눈꼽, 눈부심, 눈의 피로, 눈의 충혈","각막 궤양, 알레르기성 결막염, 결막염, 각막 혼탁과 흉터, 안구 건조증","안과, 소아안과"
충수암,"구토, 열, 오한, 식욕부진, 복부 통증","복막염, 급성 충수염","종양내과, 대장항문외과, 암병원"
췌장 전이암,"식욕부진, 체중감소, 발한, 황달, 열, 기운없음, 복부 통증","유방암, 폐암, 위암, 췌장암, 대장암, 악성 흑색종","소화기내과, 종양내과, 간담도췌외과"
췌장암,"지방변, 황달, 구토, 체중감소, 회색변, 열, 복부 통증, 오심","췌장염, 만성 췌장염","소화기내과, 종양내과, 방사선종양학과, 간담도췌외과, 간이식ㆍ간담도외과, 암병원"
췌장염,"압통, 당뇨, 요통, 설사, 체중감소, 영양 불량, 구토, 복부 통증","총담관 담석, 만성 췌장염, 췌장암, 췌장 전이암, 급성 췌장염, 담석","소화기내과, 간담도췌외과"
취한증,"겨드랑이 악취, 옷 액와 부분 변색",국소 다한증,성형외과
측두동맥염,"눈의 통증, 근육통, 식욕부진, 시력 감소, 눈의 충혈, 편두통","혈관염, 뇌경색","혈관외과, 심장외과"
치근낭,"치아 흔들림, 치근단 부위 부종",근단 주위 농양,치과
치매,"건망증, 기억장애, 감정 변화, 혼돈, 지남력 장애, 언어장애, 성격의변화","비정형 파킨슨 증후군, 혈관성 치매, 알츠하이머병","노년내과, 신경과, 정신건강의학과"
치아 우식증[충치],"치아 통증, 이가 시림","치은염, 치주 농양, 만성 치주염",치과
치열 궁 관계 이상,"얼굴모양변화, 저작장애, 발음 이상","턱크기의 주요 이상, 안면 비대칭, 치조골염",치과
치은염,"잇몸염증, 구취","치주 농양, 치조골염",치과
치조골염,"열, 고름, 환부 부종, 구취","치주 농양, 만성 치주염",치과
치주 농양,"치아 통증, 고름, 발적, 환부 부종",치은염,치과
치쿤구니야열,"권태감, 근육통, 열, 오한, 발진","길랑-바레 증후군, 일본 뇌염, 발진티푸스, 발진열, 웨스트나일열, 말라리아, 황열, 뎅기열",
치핵,"치핵의 탈출, 항문출혈, 항문 통증","항문 누공, 항문 주위 농양, 항문 열구, 항문암, 항문소양증, 탈항, 항문 및 직장의 궤양, 변비","소화기내과, 대장항문외과"
침샘염,"얼굴부종, 목 주변 부종","임파선염, 타석증, 자가면역 질환, 이하선염, 유행성 이하선염","이비인후과, 치과"
카롤리병,"체중감소, 복부 통증, 복부팽만감, 황달","담낭암, 담관암, 총담관 낭",소화기내과
카르니틴 팔미토일 전환효소 결핍증 2형,"간부전, 근육통, 근육강직, 저혈당",중쇄 아실코에이 탈수소효소 결핍증,"의학유전학센터, 소아내분비대사과, 의학유전학과"
카르시노이드 증후군,"성욕감퇴, 청색증, 발진, 발기부전, 안면홍조, 천식, 설사, 복부 통증, 말단비대, 열","심장 판막 질환, 말단비대증, 직장 유암종, 위 유암종","종양내과, 호흡기내과"
카포시 육종,"호흡곤란, 림프 부종, 기침, 갈색 피부 반점","면역결핍증, 횡문근육종, 유잉육종, 육종, 골육종, 후천성 면역결핍증","방사선종양학과, 성형외과, 정형외과, 피부과, 암병원"
칸디다성 구내염,"환부 통증, 열, 식욕부진, 구취, 하얀 반점","헤르페스 바이러스 감염, 루드비히 안자이나",이비인후과
칸디다성 외음질염,"생식기 통증, 배뇨 시 통증, 환부 부종, 소양감, 비정상적 질 분비물",급성 방광염,산부인과
칼만 증후군,"입술, 입천장의 기형, 사춘기 지연, 색맹, 후각장애, 성선 기능 저하증","성선기능저하증, 골다공증, 원발성 월경곤란, 색약, 무월경, 구순열, 희발월경","내분비내과, 신경외과, 의학유전학센터, 소아내분비대사과, 의학유전학과"
캄필로박터 감염증,"혈변, 두통, 설사, 복부 통증, 열, 근육통","길랑-바레 증후군, 박테리아성 뇌수막염",감염내과
캐슬만병,"열, 림프 부종, 권태감, 단백뇨, 전신 부종, 빈혈","헤르페스 바이러스 감염, 림프종, 용혈빈혈, 카포시 육종","종양내과, 혈액내과"
켈로이드,"불규칙한 반흔, 분홍색의 반흔, 상처보다 넓게 자람, 울퉁불퉁한 상처",흉터,"성형외과, 피부과"
코넬리아드랑게 증후군 ,"다모증, 정신 지체","바르덴부르크 증후군, 홀트-오람 증후군, 클리펠-트라우네이-베버 증후군, 판코니범혈구감소증, 트리처 콜린스 증후군, 대뇌성 거인증, 러셀 실버 증후군, 루빈스타인 테이비 증후군, 누난 증후군, 마르판 증후군, 골덴하 증후군, 연골외배엽 이형성증, 엘러스-단로스 증후군, 베크위트-위드만 증후군, ARC 증후군, 다발성 흑자 증후군","의학유전학센터, 의학유전학과"
코로나-19,"기침, 근육통, 목의 통증, 가래, 피로감, 호흡곤란, 두통, 열","인플루엔자, 중동 호흡기 증후군(MERS), 중증 급성 호흡기 증후군, 상기도 감염, 폐렴","감염내과, 호흡기내과"
콜레라,"설사, 오심, 열, 탈수, 구토",신부전,감염내과
콜린성 두드러기,"발한, 피부소양감, 발진","두드러기, 만성 두드러기","피부과, 알레르기내과"
쿠싱 증후군,"여드름, 근력 약화, 우울, 성기능 장애, 골다공증, 고혈압, 온몸의 잔털, 달모양의 둥근 얼굴, 붉고 얇은 피부, 가늘어지는 팔다리, 목 뒷부분의 지방축적, 복부비만","부신 기능부전, 뇌하수체 양성 및 악성 신생물, 여드름, 부신백질이영양증, 부신 종양, 부신암, 뇌하수체 기능 항진","내분비내과, 신경과, 신경외과"
큐열,"발진, 근육통, 간비대, 설사, 두통, 기침, 열, 오한, 권태감, 목의 통증, 구토","야토병, 브루셀라증, 조류 인플루엔자(AI) 인체감염증, 털진드기병, 라임병",감염내과
크로이츠펠트-야콥병,"방향감각 상실, 건망증, 근육경련, 인지장애, 운동장애",치매,"신경과, 소아신경과"
